Name,Socket / CPU,Form Factor,Memory Max,Memory Slots,Color,Rating,Price
ASRock B650 Steel Legend WiFi (18),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorWhite / Silver,(18),€173.90Add
ASRock B760M PG Riptide Wifi (7),Socket / CPULGA1700,Form FactorMicro ATX,Memory Max192 GB,Memory Slots4,ColorBlack,(7),Add
Asus ROG STRIX B650-A GAMING WIFI (62),Socket / CPUAM5,Form FactorATX,Memory Max192 GB,Memory Slots4,ColorBlack / Silver,(62),€189.00Add
Gigabyte X870E AORUS PRO ICE (21),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorWhite,(21),€340.99Add
Asus ROG CROSSHAIR X870E HERO BTF (1),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(1),€705.90Add
ASRock A620AI WiFi (0),Socket / CPUAM5,Form FactorMini ITX,Memory Max128 GB,Memory Slots2,ColorBlack,(0),€159.96Add
Gigabyte B650M GAMING WIFI6E (2),Socket / CPUAM5,Form FactorMicro ATX,Memory Max128 GB,Memory Slots2,ColorSilver / Black,(2),€118.10Add
ASRock B650M-HDV/M.2 White (0),Socket / CPUAM5,Form FactorMicro ATX,Memory Max128 GB,Memory Slots2,ColorWhite,(0),Add
MSI B850 GAMING PLUS WIFI (5),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorSilver / Black,(5),€193.91Add
MSI B760 GAMING PLUS WIFI (18),Socket / CPULGA1700,Form FactorATX,Memory Max192 GB,Memory Slots4,ColorBlack / Silver,(18),€146.90Add
Gigabyte B550 GAMING X V2 (21),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack,(21),€128.76Add
MSI MAG B550 TOMAHAWK (132),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack / Silver,(132),€176.90Add
Gigabyte B650 AORUS ELITE AX V2 (21),Socket / CPUAM5,Form FactorATX,Memory Max192 GB,Memory Slots4,ColorBlack / Silver,(21),€217.82Add
Asus ProArt X870E-CREATOR WIFI (6),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack / Gold,(6),€508.95Add
Gigabyte B850 GAMING WIFI6 (6),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack / Gray,(6),€166.96Add
Gigabyte B550 AORUS ELITE AX V2 (45),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack / Silver,(45),€151.18Add
Gigabyte X870 EAGLE WIFI7 (18),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(18),€215.89Add
