Name,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Rating,Price
BenQ XL2586X+ (0),"Screen Size24.1""",Resolution1920 x 1080,Refresh Rate600 Hz,Response Time (G2G),Panel TypeTN,Aspect Ratio16:9,(0),€1199.00Add
MSI G242L E14 (0),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate144 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),Add
LG UltraGear OLED 27GX790A-B (3),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate480 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(3),€707.80Add
Samsung Odyssey G55C (3),"Screen Size32.0""",Resolution2560 x 1440,Refresh Rate165 Hz,Response Time (G2G)1 ms,Panel TypeVA,Aspect Ratio16:9,(3),€171.36Add
MSI MAG 27CQ6F (2),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)0.5 ms,Panel TypeVA,Aspect Ratio16:9,(2),€184.50Add
Asus TUF Gaming VG249Q3R (3),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(3),€99.00Add
LG 65EP5G-B (0),"Screen Size65.0""",Resolution3840 x 2160,Refresh Rate120 Hz,Response Time (G2G)0.1 ms,Panel TypeOLED,Aspect Ratio16:9,(0),Add
Samsung Odyssey OLED G60SD (6),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate360 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(6),€649.35Add
Samsung C24F390 (17),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate60 Hz,Response Time (G2G)4 ms,Panel TypeVA,Aspect Ratio16:9,(17),Add
LG UltraGear OLED 45GX950A-B (2),"Screen Size44.5""",Resolution5120 x 2160,Refresh Rate165 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio64:27,(2),€1704.80Add
Asus ROG Swift OLED PG27AQWP-W (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate540 Hz,Response Time (G2G)0.02 ms,Panel TypeWOLED,Aspect Ratio16:9,(0),Add
AOC Q27G3XMN (15),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeVA Mini LED,Aspect Ratio16:9,(15),€299.89Add
Dell Alienware AW3225QF (15),"Screen Size31.6""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(15),€988.83Add
LG UltraGear G6 27G610A-B (1),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate200 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€175.10Add
Samsung Odyssey G4 (6),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(6),Add
Samsung Odyssey OLED G60SF (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate500 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(0),€762.90Add
MSI PRO MP225 (0),"Screen Size21.5""",Resolution1920 x 1080,Refresh Rate100 Hz,Response Time (G2G)4 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€105.14Add
Asus ROG Strix OLED XG27AQDPG (0),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate500 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(0),€899.90Add
Dell Alienware AW3425DW (4),"Screen Size34.2""",Resolution3440 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio21:9,(4),€802.85Add
Sceptre E248W-19203R (6),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate75 Hz,Response Time (G2G)14 ms,Panel TypeTN,Aspect Ratio16:9,(6),€286.74Add
MSI MAG 275F (1),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G)0.5 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€298.63Add
LG UltraGear 34GS95QE-B (6),"Screen Size34.0""",Resolution3440 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio21:9,(6),€899.99Add
Asus ROG Strix XG27ACS (7),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(7),€379.07Add
LG UltraGear 27GR83Q-B (7),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(7),Add
MSI MAG 274QRFW (4),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(4),€199.00Add
Acer Nitro XV1 XV271U M3bmiiprx (13),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(13),Add
Asus ROG Swift OLED PG32UCDMR (0),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(0),€1076.26Add
KTC H24F8 (0),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€94.99Add
Acer Predator X39 (2),"Screen Size39.0""",Resolution3440 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.01 ms,Panel TypeOLED,Aspect Ratio21:9,(2),Add
AOC 24G4XE (3),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(3),€108.98Add
AOC CU34G2XP/BK (4),"Screen Size34.0""",Resolution3440 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeVA,Aspect Ratio21:9,(4),€339.48Add
Asus TUF Gaming VG279QM (10),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate280 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(10),€179.00Add
Dell Alienware AW3423DWF (30),"Screen Size34.2""",Resolution3440 x 1440,Refresh Rate165 Hz,Response Time (G2G)0.1 ms,Panel TypeQD-OLED,Aspect Ratio21:9,(30),Out of stock€668.17Add
MSI MPG 322URX QD-OLED (1),"Screen Size32.0""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(1),€1099.00Add
Samsung Odyssey G50D (2),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(2),€214.90Add
Acer Predator X27U Z1bmiiprx (0),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate280 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(0),Add
Dell Alienware AW2725DF (8),"Screen Size26.7""",Resolution2560 x 1440,Refresh Rate360 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(8),€605.10Add
LG 38GL950G-B (1),"Screen Size37.5""",Resolution3840 x 1600,Refresh Rate175 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio12:5,(1),Add
MSI PRO MP275Q (1),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate100 Hz,Response Time (G2G)4 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€139.00Add
Asus ROG Swift OLED PG32UCDP (5),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeWOLED,Aspect Ratio16:9,(5),€938.90Add
ASRock Challenger CL27FFA (0),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate120 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€99.96Add
MSI MAG 274CXF (0),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate280 Hz,Response Time (G2G)0.5 ms,Panel TypeVA,Aspect Ratio16:9,(0),€171.87Add
Samsung Odyssey G50D (1),"Screen Size32.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(1),Add
Asus TUF Gaming VG279Q3A (2),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(2),€230.96Add
AOC C27G2Z (8),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate240 Hz,Response Time (G2G),Panel TypeVA,Aspect Ratio16:9,(8),Add
Pixio PX248 Prime (10),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate144 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(10),Add
LG UltraGear 32GS95UV-W (2),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(2),Add
ASRock PG27QFT1B (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€200.88Add
MSI MPG 341CQPX QD-OLED (4),"Screen Size34.0""",Resolution3440 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio21:9,(4),Out of stock€906.35Add
Asus ROG Strix OLED XG32UCWMG (1),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeWOLED,Aspect Ratio16:9,(1),€999.00Add
LG UltraGear 32GS95UE-B (3),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(3),€1243.61Add
Samsung Odyssey G5 (1),"Screen Size34.0""",Resolution3440 x 1440,Refresh Rate165 Hz,Response Time (G2G),Panel TypeVA,Aspect Ratio21:9,(1),€276.91Add
KOORUI G2421V (0),"Screen Size23.8""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€159.99Add
MSI PRO MP223 E2 (0),"Screen Size21.4""",Resolution1920 x 1080,Refresh Rate100 Hz,Response Time (G2G)4 ms,Panel TypeVA,Aspect Ratio16:9,(0),€69.00Add
LG UltraGear OLED 27GS93QE-B (1),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(1),Add
Asus TUF Gaming VG249QL3A (1),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€231.05Add
Dell Alienware AW2724HF (1),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate360 Hz,Response Time (G2G)0.5 ms,Panel TypeIPS,Aspect Ratio16:9,(1),Add
Asus ROG Swift OLED PG27AQDM (4),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(4),€1145.96Add
Gigabyte GS27QA (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€164.35Add
Asus ProArt Display PA32DC (1),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate60 Hz,Response Time (G2G)0.1 ms,Panel TypeOLED,Aspect Ratio16:9,(1),€3200.00Add
MSI MAG 272QP QD-OLED X50 (1),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate500 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(1),€899.00Add
LG UltraGear 24G411A-B (0),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate144 Hz,Response Time (G2G)5 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€92.80Add
Samsung Odyssey OLED G8 G81SF (2),"Screen Size27.0""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(2),€876.80Add
Asus XG27ACMEG-G Hatsune Miku Edition (1),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate260 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€453.64Add
MSI PRO MP251 E2 (0),"Screen Size24.5""",Resolution1920 x 1080,Refresh Rate120 Hz,Response Time (G2G)4 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€94.69Add
Asus TUF Gaming VG27AQM5A (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate300 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(0),Add
Asus ROG Strix OLED XG27UCDMG (2),"Screen Size26.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(2),€898.95Add
MSI MPG 491CQPX QD-OLED (3),"Screen Size49.0""",Resolution5120 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio32:9,(3),€1149.00Add
Sceptre E255B-1658A (20),"Screen Size24.5""",Resolution1920 x 1080,Refresh Rate165 Hz,Response Time (G2G)1 ms,Panel TypeTN,Aspect Ratio16:9,(20),Add
LG 27GS95QE-B (3),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(3),€799.00Add
RCA Evolution Premium (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(0),Add
Sony INZONE M10S (1),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate480 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(1),€1349.00Add
KTC H27E6 (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate320 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€722.77Add
Dell Alienware AW2725DM (1),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€222.80Add
AOC Q27G4XF (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€199.55Add
Asus TUF Gaming VG27AQML1A (7),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate260 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(7),€289.00Add
MSI MAG 255XFV (0),"Screen Size24.5""",Resolution1920 x 1080,Refresh Rate250 Hz,Response Time (G2G)0.5 ms,Panel TypeVA,Aspect Ratio16:9,(0),Add
Dell Alienware AW2725D (0),"Screen Size26.7""",Resolution2560 x 1440,Refresh Rate280 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(0),€664.43Add
MSI MPG 321URX QD-OLED (4),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(4),€957.17Add
MSI MAG 271QPX QD-OLED E2 (5),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(5),€499.00Add
Asus TUF Gaming VG34VQL3A (2),"Screen Size34.0""",Resolution3440 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeVA,Aspect Ratio21:9,(2),€350.20Add
MSI MAG 276CXF (0),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate280 Hz,Response Time (G2G)0.5 ms,Panel TypeVA,Aspect Ratio16:9,(0),€174.50Add
